PUUID,Game ID,Blue Team Champions,Red Team Champions,Winning Team,UserChampion
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7002585871,"Gragas, Taliyah, Twitch, Viego, Yuumi","Gwen, Hwei, Jax, Rakan, Zeri",Blue,Viego
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7002511669,"AurelionSol, KSante, LeeSin, Sett, Smolder","Fiora, Kaisa, Maokai, Nautilus, Yone ½Â¸®2",Red,Yone
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7002109812,"Aphelios, Fiora, Rakan, Tristana, Volibear","Azir, Jinx, Lulu, Poppy, TwistedFate ½Â¸® 1",Red,Azir
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7001855467,"Camille, Gwen, KSante, Kalista, Taliyah","Jayce, Poppy, Rell, Tristana, Ziggs ½Â¸®2",Red,Camille
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7001824348,"Hwei, Jinx, Kayn, Thresh, Volibear","Ahri, LeeSin, Rakan, RekSai, Varus ÆÐ¹è2",Blue,LeeSin
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7001777580,"AurelionSol, LeeSin, Lucian, Milio, TwistedFate","Cassiopeia, KSante, Poppy, Rell, Samira ½Â¸® 1",Red,KSante
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7001719904,"Evelynn, Rakan, Renekton, Tristana, Zeri","Gragas, Hwei, Jhin, LeeSin, Rumble ÆÐ¹è1",Blue,Gragas
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7001710268,"Camille, Hwei, Jax, Nautilus, Varus","Gnar, Karma, LeeSin, Lucian, Nami",Red,Karma
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7001238634,"Hwei, Kaisa, Poppy, Rakan, Renekton","Gragas, Leblanc, LeeSin, Rell, Smolder",Red,LeeSin
JBjx4vpKVZeORm0sJ0ZWfh8KJh8qSd8z7hz2kWuMbiIHcBjvNS64k_ue16IaviNo13WrRBDD7Bcq4w,KR_7001068262,"Yone, Yone, Yone, Yone, Yone","Garen, Garen, Garen, Garen, Garen",Red,Garen
